Variable,Site,Product,Month,Mean,Std
GPP,ORNL,CAL,12,1.4485183643733468,0.22167358980210553
ET,TALL,DEF,1,20.07269052631579,2.9044138362407645
ET,TALL,DEF,2,19.689472794871797,2.722130905594425
ET,TALL,DEF,3,28.122157461538464,3.3831940233470577
ET,TALL,DEF,4,47.99308515384615,5.41099648198924
ET,TALL,DEF,5,74.45618443589744,5.320157824123235
ET,TALL,DEF,6,104.74025533333334,4.568369956173705
ET,TALL,DEF,7,122.33203766666666,5.741226865296858
ET,TALL,DEF,8,124.45799512820514,6.572009162775288
ET,TALL,DEF,9,105.3891257948718,7.679249325519724
ET,TALL,DEF,10,79.82271897435898,6.626462593616855
ET,TALL,DEF,11,55.31439382051282,4.462599571772011
ET,TALL,DEF,12,29.251732692307694,2.9486551554168696
ET,TALL,ERA5,1,29.010950749915388,3.1717749338508625
ET,TALL,ERA5,2,28.60487433777851,3.6221993886709827
ET,TALL,ERA5,3,40.664723447012044,4.5840068934795415
ET,TALL,ERA5,4,66.08572756929169,5.571072888980771
ET,TALL,ERA5,5,100.08060429798162,4.128616322097488
ET,TALL,ERA5,6,118.9169402590557,5.355371298588032
ET,TALL,ERA5,7,125.36099453411302,9.322064511900749
ET,TALL,ERA5,8,119.54424990222647,10.357269261888707
ET,TALL,ERA5,9,102.00015776580749,10.899686328336063
ET,TALL,ERA5,10,82.23111383799484,9.202637306107963
ET,TALL,ERA5,11,58.93886534165454,6.1066893211685285
ET,TALL,ERA5,12,41.00690841335263,3.1951119950019566
ET,TALL,GLEAM,1,23.569721840538925,2.2304171315025108
ET,TALL,GLEAM,2,25.050725698419875,2.790961865393591
ET,TALL,GLEAM,3,30.4235627137772,3.313909817102151
ET,TALL,GLEAM,4,49.84627352846552,4.204016238449227
ET,TALL,GLEAM,5,72.52360158910774,4.097124438325501
ET,TALL,GLEAM,6,91.13784652639828,4.536857309848735
ET,TALL,GLEAM,7,97.36754652342108,5.138132942042954
ET,TALL,GLEAM,8,101.21988302823407,4.370922872832164
ET,TALL,GLEAM,9,89.90133733942197,3.500536319752835
ET,TALL,GLEAM,10,68.27872916116472,3.5612224989960386
ET,TALL,GLEAM,11,48.7922014257639,3.054663432358042
ET,TALL,GLEAM,12,31.294186065238712,2.747124626073259
ET,TALL,FLUXCOM,1,16.67282373763323,1.3299947313153444
ET,TALL,FLUXCOM,2,20.656561686992262,2.199298900101535
ET,TALL,FLUXCOM,3,36.871784187573255,4.495578892000476
ET,TALL,FLUXCOM,4,64.58700602343225,5.563968877912611
ET,TALL,FLUXCOM,5,98.53705568327285,6.641346498126148
ET,TALL,FLUXCOM,6,122.06866966822729,7.0899371532441
ET,TALL,FLUXCOM,7,125.59972572377167,3.5642819799416894
ET,TALL,FLUXCOM,8,111.07438166829033,3.576451257128434
ET,TALL,FLUXCOM,9,85.16609641413795,4.8976271018512465
ET,TALL,FLUXCOM,10,55.2686623759116,5.216428155784453
ET,TALL,FLUXCOM,11,26.549906677937557,2.194131683166724
ET,TALL,FLUXCOM,12,16.377491166806767,1.1801449769833072
ET,TALL,CAL,1,26.875094289473683,2.4200909192058444
ET,TALL,CAL,2,26.00507171794872,2.900481593893521
ET,TALL,CAL,3,33.4846298974359,2.9620923950347278
ET,TALL,CAL,4,52.216957358974355,4.94047537055601
ET,TALL,CAL,5,76.30696128205128,5.7460228246585805
ET,TALL,CAL,6,105.75640705128207,4.441594502180173
ET,TALL,CAL,7,122.97631179487179,7.802333613584678
ET,TALL,CAL,8,122.35312615384616,9.831858005766785
ET,TALL,CAL,9,101.45585843589744,9.500767176719183
ET,TALL,CAL,10,76.65878356410256,9.484820780392974
ET,TALL,CAL,11,54.684489666666664,7.513412451605502
ET,TALL,CAL,12,34.04969343589744,4.718870298539335
ET,OSBS,DEF,1,34.45418281578947,3.1467609813292627
ET,OSBS,DEF,2,35.31750871794872,3.5577920167599215
ET,OSBS,DEF,3,47.237337102564105,3.918944489661376
ET,OSBS,DEF,4,67.43675258974359,4.340221742653635
ET,OSBS,DEF,5,86.82137394871795,5.157611798181528
ET,OSBS,DEF,6,104.42028812820513,8.087075631011967
ET,OSBS,DEF,7,121.670182,7.301912017339773
ET,OSBS,DEF,8,128.0498649230769,6.651157976206487
ET,OSBS,DEF,9,118.09101676923078,5.608594541950526
ET,OSBS,DEF,10,95.2155352051282,5.5803358888254095
ET,OSBS,DEF,11,67.92744025641025,4.587613031663468
ET,OSBS,DEF,12,45.34822825641025,4.113999496453066
ET,OSBS,ERA5,1,42.610384815213216,3.2403547819907117
ET,OSBS,ERA5,2,45.77701159707044,3.0693939135243253
ET,OSBS,ERA5,3,59.96017242311895,4.467568326008924
ET,OSBS,ERA5,4,83.8501527374256,4.019000933099047
ET,OSBS,ERA5,5,106.5214229459369,7.7136971234282425
ET,OSBS,ERA5,6,108.66250244420316,11.862233657025264
ET,OSBS,ERA5,7,118.4442195284674,11.761009933425292
ET,OSBS,ERA5,8,126.06517486375272,9.72557250074608
ET,OSBS,ERA5,9,118.32375970895013,6.780860516211882
ET,OSBS,ERA5,10,103.08667147766089,7.794163728707841
ET,OSBS,ERA5,11,75.71873151562816,6.835890210746644
ET,OSBS,ERA5,12,53.34150973573081,5.592774252465194
ET,OSBS,GLEAM,1,32.28802447504688,1.8092713017841702
ET,OSBS,GLEAM,2,34.0799073597104,2.1270680008176086
ET,OSBS,GLEAM,3,38.85949953993452,2.6072392770196187
ET,OSBS,GLEAM,4,58.87976871636369,2.8655864792291825
ET,OSBS,GLEAM,5,77.32895804134215,3.16675427732532
ET,OSBS,GLEAM,6,90.67228218561526,3.2440284989667636
ET,OSBS,GLEAM,7,95.11567231532952,4.177401704057544
ET,OSBS,GLEAM,8,101.72168063719681,4.236379219203579
ET,OSBS,GLEAM,9,94.34252246620373,3.282074146513496
ET,OSBS,GLEAM,10,76.01403177859999,3.4656627563091265
ET,OSBS,GLEAM,11,58.67039061025712,3.104368220548147
ET,OSBS,GLEAM,12,40.34989154201159,2.023663718095918
ET,OSBS,FLUXCOM,1,29.078169246465595,1.9806486478105132
ET,OSBS,FLUXCOM,2,33.54494331633508,2.6160409524694868
ET,OSBS,FLUXCOM,3,54.4045864166471,4.009921568097945
ET,OSBS,FLUXCOM,4,81.59542278503555,4.651796920778693
ET,OSBS,FLUXCOM,5,110.64389471179683,3.443400668870755
ET,OSBS,FLUXCOM,6,117.22338793418137,6.377667188292278
ET,OSBS,FLUXCOM,7,120.51374230121797,4.529219003308853
ET,OSBS,FLUXCOM,8,107.58616765825558,3.125147889703765
ET,OSBS,FLUXCOM,9,87.36242772384307,3.7751158819301014
ET,OSBS,FLUXCOM,10,67.28838356815055,3.902845135748502
ET,OSBS,FLUXCOM,11,42.23502781131338,1.666245015253416
ET,OSBS,FLUXCOM,12,30.005250594443446,1.4912363135134594
ET,OSBS,CAL,1,50.015428,7.19856732773511
ET,OSBS,CAL,2,53.23706476923077,7.675638958368602
ET,OSBS,CAL,3,65.7253525897436,7.256159328566054
ET,OSBS,CAL,4,85.79911902564102,7.508599266921762
ET,OSBS,CAL,5,102.79784135897435,10.002273489752024
ET,OSBS,CAL,6,120.64188112820513,19.625174832211876
ET,OSBS,CAL,7,145.26821815384616,19.16147686597978
ET,OSBS,CAL,8,147.62858153846153,15.909411346013917
ET,OSBS,CAL,9,134.58385141025641,14.028060545596437
ET,OSBS,CAL,10,106.48109335897436,13.854941321834334
ET,OSBS,CAL,11,74.79794917948718,11.906248452318072
ET,OSBS,CAL,12,57.06445248717948,9.942289545049452
ET,ORNL,DEF,1,14.693691394736842,1.8728068785818346
ET,ORNL,DEF,2,13.705453794871795,2.895464764453867
ET,ORNL,DEF,3,16.395185141025642,3.3819386215590472
ET,ORNL,DEF,4,30.258014897435896,5.960966082710073
ET,ORNL,DEF,5,63.027904794871795,11.456764535356548
ET,ORNL,DEF,6,113.82674256410256,7.632433623539258
ET,ORNL,DEF,7,135.34634294871796,6.709172833677014
ET,ORNL,DEF,8,135.48608112820511,10.386022440912559
ET,ORNL,DEF,9,111.3492882051282,11.948389195053444
ET,ORNL,DEF,10,76.72372933333334,11.602520988852454
ET,ORNL,DEF,11,51.13761261538462,7.702475056463686
ET,ORNL,DEF,12,22.07166146153846,2.935751271092038
ET,ORNL,ERA5,1,20.242921049381984,3.334636469096278
ET,ORNL,ERA5,2,17.213970678692114,4.063701287938835
ET,ORNL,ERA5,3,25.360969097768287,4.7404854236553255
ET,ORNL,ERA5,4,48.209091801242984,5.726656204748091
ET,ORNL,ERA5,5,84.1425471886919,4.547824167266158
ET,ORNL,ERA5,6,112.32013436427773,5.2843718937518025
ET,ORNL,ERA5,7,124.79174478314991,8.47484511989303
ET,ORNL,ERA5,8,122.88431871212276,7.771060555180277
ET,ORNL,ERA5,9,107.08821932882468,7.846759085491149
ET,ORNL,ERA5,10,80.738789588615,7.5111903260320085
ET,ORNL,ERA5,11,53.0384513488684,4.6267394223017195
ET,ORNL,ERA5,12,32.589199845814264,3.216546976137661
ET,ORNL,GLEAM,1,20.023074120293998,2.277670652443985
ET,ORNL,GLEAM,2,20.71520837581714,2.808396954973899
ET,ORNL,GLEAM,3,25.07993164092917,3.31330554405762
ET,ORNL,GLEAM,4,43.00597653998718,4.8729668527426675
ET,ORNL,GLEAM,5,63.28972802009584,4.8134238903796955
ET,ORNL,GLEAM,6,90.58908032991775,4.840712061885365
ET,ORNL,GLEAM,7,100.7107465169684,5.685860795646022
ET,ORNL,GLEAM,8,103.65525044605329,4.378818441548127
ET,ORNL,GLEAM,9,92.37109176863088,4.078233007536575
ET,ORNL,GLEAM,10,69.00520550012689,3.7383654740121064
ET,ORNL,GLEAM,11,46.20586850336391,3.297422507117074
ET,ORNL,GLEAM,12,27.84544459305188,3.2902118791046866
ET,ORNL,FLUXCOM,1,10.506213304621458,1.0521311687999986
ET,ORNL,FLUXCOM,2,14.005891651254547,1.7534222296195772
ET,ORNL,FLUXCOM,3,27.214961121952204,3.713382153855334
ET,ORNL,FLUXCOM,4,49.81464893192228,4.543566337736544
ET,ORNL,FLUXCOM,5,84.39954192921681,7.074420919419787
ET,ORNL,FLUXCOM,6,110.97709989265864,6.36063328550091
ET,ORNL,FLUXCOM,7,117.43203469338225,6.289733983967818
ET,ORNL,FLUXCOM,8,107.36591459002138,4.301411207007219
ET,ORNL,FLUXCOM,9,76.34856172596938,5.210692525090955
ET,ORNL,FLUXCOM,10,44.653611792330935,3.390785465769573
ET,ORNL,FLUXCOM,11,18.546221887074356,1.8073746290393295
ET,ORNL,FLUXCOM,12,10.766757597830125,1.0939198187917112
ET,ORNL,CAL,1,28.761013342105265,5.059644477809218
ET,ORNL,CAL,2,24.804871846153844,4.388165122550831
ET,ORNL,CAL,3,27.557049641025642,3.8315604818411537
ET,ORNL,CAL,4,39.797491487179485,5.720936278580086
ET,ORNL,CAL,5,67.04638138461539,11.958228073875938
ET,ORNL,CAL,6,118.66909943589744,7.299718198885758
ET,ORNL,CAL,7,140.28032743589745,6.440189601805509
ET,ORNL,CAL,8,145.43257512820512,6.868819504100745
ET,ORNL,CAL,9,127.11342335897436,6.935747872867884
ET,ORNL,CAL,10,94.16305505128206,7.48344589589819
ET,ORNL,CAL,11,64.64425979487179,7.324654363185216
ET,ORNL,CAL,12,38.404975923076925,6.6864496977983
